题目,评委ID,阅卷量,信度,效度,公平性,区分力,评分均值,评分标准差,获奖率,公平性_raw,TOPSIS得分,排名,TOPSIS等权,排名等权,聚类,Silhouette,分层,信度_排名,效度_排名,公平性_排名,区分力_排名
A,专家A01,101,0.4343726172827681,0.5320708200682815,-0.5131593276797403,11.264959990862193,51.43564356435643,11.264959990862193,0.39603960396039606,0.5131593276797403,0.4437938492353609,9,0.5179105179573248,9,1,0.3910089504126703,合格,10,9,6,9
A,专家A02,100,0.42579295611715406,0.6778342372503291,-0.6709200089091115,21.440111940006283,50.04,21.440111940006283,0.44,0.6709200089091115,0.7871128645769252,1,0.7242105174798464,1,0,0.3910089504126703,优秀,11,5,7,2
A,专家A03,103,0.6010230571743082,0.7143724185211562,-0.4275015341792113,13.98367010134507,59.75728155339806,13.98367010134507,0.4174757281553398,0.4275015341792113,0.6194967857527661,3,0.7218294592848262,2,2,0.3910089504126703,良好,4,1,5,5
A,专家A04,100,0.48169493265951174,0.43643096820545507,-0.037827909664413774,12.344792424338289,56.31,12.344792424338289,0.32,0.037827909664413774,0.4860300396719147,6,0.5401172091086484,7,1,0.3910089504126703,合格,8,13,1,7
A,专家A05,101,0.36194909264511477,0.5045360268802227,-0.7258049678158109,9.280529226464534,49.554455445544555,9.280529226464534,0.49504950495049505,0.7258049678158109,0.3501053531229258,13,0.4200509851723368,13,1,0.3910089504126703,合格,13,10,8,12
A,专家A06,103,0.6300344030216801,0.6848374138291029,-1.2461185333710367,15.25089756440374,44.95145631067961,15.25089756440374,0.4174757281553398,1.2461185333710367,0.5741408571835153,4,0.6387998692536848,3,2,0.3910089504126703,良好,3,4,10,4
A,专家A07,100,0.6488232585745065,0.5795363988608674,-1.459845264633304,12.99453346603871,68.89,12.99453346603871,0.44,1.459845264633304,0.4498970001055994,8,0.538599981247708,8,2,0.3910089504126703,良好,2,7,13,6
A,专家A08,102,0.44946760285579673,0.5798719622047239,-0.42723254991891735,10.875801773022282,59.754901960784316,10.875801773022282,0.4411764705882353,0.42723254991891735,0.4660688724500875,7,0.5562447904617049,6,1,0.3910089504126703,合格,9,6,4,10
A,专家A09,102,0.5310162154989625,0.5481561093899495,-1.2583626968996264,12.040572830193765,44.84313725490196,12.040572830193765,0.38235294117647056,1.2583626968996264,0.407161753428183,11,0.4888114106318907,11,2,0.3910089504126703,良好,5,8,11,8
A,专家A10,101,0.12025844978711242,0.35204579940336556,-0.12925434304712705,6.803154668229941,57.118811881188115,6.803154668229941,0.44554455445544555,0.12925434304712705,0.3279072877554534,14,0.3544804589845287,14,1,0.3910089504126703,合格,14,14,2,14
A,专家A11,102,0.48310406208368656,0.48498929696352183,-0.2465934800757726,9.46794913092941,58.15686274509804,9.46794913092941,0.47058823529411764,0.2465934800757726,0.4198940257872224,10,0.5135244386767414,10,1,0.3910089504126703,合格,7,12,3,11
A,专家A12,101,0.4072613318124441,0.4982552186937132,-1.1835290430901753,23.355401032239367,66.44554455445545,23.355401032239367,0.4158415841584158,1.1835290430901753,0.6605830271929817,2,0.5624781264309194,5,0,0.3910089504126703,优秀,12,11,9,1
A,专家A13,102,0.49053637074503265,0.6918033950847816,-1.9233230056750201,8.518141077285211,72.99019607843137,8.518141077285211,0.4411764705882353,1.9233230056750201,0.3598692521440766,12,0.4547864475968204,12,2,0.3910089504126703,良好,6,2,14,13
A,专家A14,102,0.6754869642629833,0.6907378405456022,-1.3957813757987059,15.306618822490119,43.627450980392155,15.306618822490119,0.39215686274509803,1.3957813757987059,0.566387494017185,5,0.6307550462720551,4,2,0.3910089504126703,良好,1,3,12,3
B,专家B01,101,0.8333383627691151,0.5466029562982709,-0.03314778928795652,14.503940085782196,51.17821782178218,14.503940085782196,0.32673267326732675,0.03314778928795652,0.5593799791699482,20,0.6571179194122371,22,1,0.2435817243625177,良好,1,48,4,24
B,专家B02,101,0.819751936375978,0.7634771124107146,-0.467657815955607,18.23266184206985,47.18811881188119,18.23266184206985,0.44554455445544555,0.467657815955607,0.7965068780803151,3,0.8541017601669086,2,3,0.2435817243625177,优秀,2,4,24,5
B,专家B03,101,0.2694525354747984,0.3821970220902781,-0.776571888199403,10.834461243468995,58.613861386138616,10.834461243468995,0.39603960396039606,0.776571888199403,0.23796334654180548,55,0.32421837296883593,54,2,0.2435817243625177,需关注,54,55,37,45
B,专家B04,101,0.8143012368436308,0.7278284162751515,-0.019131336814806575,8.287820688665613,51.306930693069305,8.287820688665613,0.42574257425742573,0.019131336814806575,0.4043783128083916,38,0.6157875723985089,27,1,0.2435817243625177,良好,3,12,3,55
B,专家B05,101,0.64208121021134,0.680740032932377,-0.4369424628884597,13.948720628637133,55.495049504950494,13.948720628637133,0.39603960396039606,0.4369424628884597,0.5314243610281424,28,0.6548630603178552,23,1,0.2435817243625177,良好,26,26,23,28
B,专家B06,100,0.62070120426377,0.618325878490383,-0.36560950168664447,17.036267196777587,54.84,17.036267196777587,0.42,0.36560950168664447,0.6577019002371591,10,0.6774621212466161,18,3,0.2435817243625177,优秀,31,38,20,10
B,专家B07,103,0.6468752450620585,0.7929547016282915,-0.37563225965079017,13.857290770335934,54.932038834951456,13.857290770335934,0.49514563106796117,0.37563225965079017,0.5583020810178076,21,0.6979603118079845,15,1,0.2435817243625177,良好,23,1,21,29
B,专家B08,100,0.5501965452180547,0.7045987672800271,-0.6111970711671815,21.579460141532735,45.87,21.579460141532735,0.45,0.6111970711671815,0.8168033994506783,2,0.7385638937524117,9,3,0.2435817243625177,优秀,40,22,31,1
B,专家B09,102,0.6603162046740403,0.6644186549508659,-0.1134094209837547,10.339884257526975,50.44117647058823,10.339884257526975,0.43137254901960786,0.1134094209837547,0.40091350625477334,39,0.5936853906187213,30,1,0.2435817243625177,良好,18,29,10,49
B,专家B10,102,0.7656672147451921,0.685197291733903,-0.9824506152730124,16.332736024668943,42.46078431372549,16.332736024668943,0.5196078431372549,0.9824506152730124,0.661097059948395,9,0.7180651318969044,12,3,0.2435817243625177,优秀,5,25,40,11
B,专家B11,101,0.582382020075766,0.5412997030404602,-1.0698392014837723,11.965083338290054,61.306930693069305,11.965083338290054,0.39603960396039606,1.0698392014837723,0.3713700284249025,45,0.47638315348871935,47,0,0.2435817243625177,合格,35,49,43,37
B,专家B12,100,0.6808404191887845,0.7049007130661982,-0.8001087464677769,15.763917660277219,58.83,15.763917660277219,0.41,0.8001087464677769,0.6265587830815531,13,0.7015614856208683,14,3,0.2435817243625177,优秀,13,21,38,15
B,专家B13,101,0.47102235553995214,0.6267501445787632,-0.3533698188668454,11.017671237698536,48.23762376237624,11.017671237698536,0.33663366336633666,0.3533698188668454,0.36188115602202686,47,0.514075057065386,42,1,0.2435817243625177,良好,49,36,18,44
B,专家B14,100,0.7018035635670864,0.7145802084721745,-0.05743083934814603,14.81519152761786,52.01,14.81519152761786,0.43,0.05743083934814603,0.5991946803223107,15,0.7273741726142907,10,1,0.2435817243625177,良好,11,18,5,22
B,专家B15,102,0.5668511479105645,0.6079918972335911,-0.06808566873267563,11.277173598360138,52.1078431372549,11.277173598360138,0.38235294117647056,0.06808566873267563,0.3937434340677279,42,0.5578615163142315,37,1,0.2435817243625177,良好,39,41,6,42
B,专家B16,102,0.5793456992160471,0.596605855997116,-1.7164881306277797,9.15277336573489,67.24509803921569,9.15277336573489,0.4117647058823529,1.7164881306277797,0.2819621521209783,53,0.4159938901710739,51,0,0.2435817243625177,合格,37,43,50,54
B,专家B17,102,0.6600413632548136,0.7374774178562521,-0.5607414362260135,13.190410460049192,46.333333333333336,13.190410460049192,0.4411764705882353,0.5607414362260135,0.5149189537193218,29,0.6622251878278054,20,1,0.2435817243625177,良好,19,8,28,34
B,专家B18,102,0.5110808153379769,0.647780816669808,-0.39691206657185396,13.214424359371764,55.127450980392155,13.214424359371764,0.4215686274509804,0.39691206657185396,0.46142272169055326,33,0.5739353254289287,34,1,0.2435817243625177,良好,47,34,22,33
B,专家B19,100,0.5314701565894151,0.5272041926409566,-1.020649993567447,10.569668868985442,42.11,10.569668868985442,0.39,1.020649993567447,0.30292136756735016,51,0.43115647036015076,50,2,0.2435817243625177,需关注,44,51,41,47
B,专家B20,102,0.7274469245382316,0.5998565166584868,-0.14970843892704014,19.36284437800311,50.1078431372549,19.36284437800311,0.3333333333333333,0.14970843892704014,0.7779979512309673,5,0.7501426080393914,7,3,0.2435817243625177,优秀,8,42,13,3
B,专家B21,100,0.6432278619683388,0.5792012407165273,-0.4772536949564558,13.835823069120247,47.1,13.835823069120247,0.44,0.4772536949564558,0.4946795304702402,30,0.5942025375556707,29,1,0.2435817243625177,良好,25,45,26,30
B,专家B22,101,0.5384719043090974,0.7187725816271584,-1.3280523600766625,9.472562393057315,39.28712871287129,9.472562393057315,0.32673267326732675,1.3280523600766625,0.33966734190966813,49,0.49692009538244875,43,0,0.2435817243625177,合格,41,17,49,53
B,专家B23,101,0.6627475430631714,0.7905599794293827,-0.7070156966509387,10.656188690894114,44.99009900990099,10.656188690894114,0.42574257425742573,0.7070156966509387,0.43581413475570036,35,0.6183285828545008,26,1,0.2435817243625177,良好,17,2,33,46
B,专家B24,99,0.5729043397437314,0.593116329222879,-0.6080401565763563,13.970745010607455,45.898989898989896,13.970745010607455,0.36363636363636365,0.6080401565763563,0.4864789493132372,32,0.5703419424117095,35,1,0.2435817243625177,良好,38,44,30,26
B,专家B25,101,0.6505949198864822,0.6531715785232651,-1.1684804396131088,11.324560132295707,40.75247524752475,11.324560132295707,0.39603960396039606,1.1684804396131088,0.3994999004698571,40,0.5451653923783747,38,0,0.2435817243625177,合格,21,32,45,41
B,专家B26,101,0.6554969339626517,0.6536923348976552,-2.377682036093848,15.500195267418574,73.31683168316832,15.500195267418574,0.3564356435643564,2.377682036093848,0.5546058435609946,22,0.5323644766583363,41,0,0.2435817243625177,合格,20,31,53,18
B,专家B27,101,0.5289852782078136,0.7082422624310547,-0.28436574515287594,11.896969716793834,48.87128712871287,11.896969716793834,0.38613861386138615,0.28436574515287594,0.4345567681948781,36,0.5900734852444179,32,1,0.2435817243625177,良好,45,19,16,38
B,专家B28,102,0.6491395222851689,0.7361055975699764,-0.11874751185776714,14.331616538368763,50.3921568627451,14.331616538368763,0.43137254901960786,0.11874751185776714,0.5711154633598877,19,0.703544111808962,13,1,0.2435817243625177,良好,22,9,11,25
B,专家B29,13,0.6389998794792409,0.6396021490668314,-2.196989475823366,15.513689316633156,31.307692307692307,15.513689316633156,0.23076923076923078,2.196989475823366,0.5521159251163354,23,0.5327991389087732,40,0,0.2435817243625177,合格,28,35,52,17
B,专家B30,102,0.4854199004589108,0.5738399697641127,-0.708072744348763,12.272223053291624,44.98039215686274,12.272223053291624,0.47058823529411764,0.708072744348763,0.38220181869823994,43,0.48855487793544633,44,2,0.2435817243625177,需关注,48,46,34,35
B,专家B31,101,0.5977831778920881,0.6571616192949827,-0.3619953280810915,11.678644870244733,48.15841584158416,11.678644870244733,0.43564356435643564,0.3619953280810915,0.4221242264935737,37,0.5842143488623697,33,1,0.2435817243625177,良好,33,30,19,39
B,专家B32,100,0.531608606091662,0.7203722588826674,-0.26433524162487587,9.791930351059488,53.91,9.791930351059488,0.45,0.26433524162487587,0.37439801976469217,44,0.5600853607755102,36,1,0.2435817243625177,良好,43,16,15,52
B,专家B33,100,0.6372031039736433,0.757053977872101,-1.21775366099949,15.069505632236249,40.3,15.069505632236249,0.44,1.21775366099949,0.5875740240236439,17,0.6598829806361699,21,3,0.2435817243625177,优秀,29,5,47,20
B,专家B34,101,0.6407966549848385,0.6731079305945589,-1.3269741714248815,14.668984289589606,39.2970297029703,14.668984289589606,0.44554455445544555,1.3269741714248815,0.5436078867023896,24,0.6063686276975078,28,0,0.2435817243625177,合格,27,27,48,23
B,专家B35,101,0.4511353497871616,0.699861152380281,-0.6132132839460109,14.819298455231442,45.851485148514854,14.819298455231442,0.40594059405940597,0.6132132839460109,0.5318339109560661,27,0.5905756790597922,31,1,0.2435817243625177,良好,50,23,32,21
B,专家B36,100,0.5368982207869274,0.6156580118504421,-1.1458816054717833,11.102179966114763,40.96,11.102179966114763,0.31,1.1458816054717833,0.3502173785294453,48,0.4798775072212394,45,0,0.2435817243625177,合格,42,39,44,43
B,专家B37,102,0.580668138041028,0.5248457196084546,-2.451009434891918,10.292292088361148,73.99019607843137,10.292292088361148,0.5,2.451009434891918,0.2668311126854157,54,0.34030605527713637,53,0,0.2435817243625177,合格,36,52,54,51
B,专家B38,101,0.4135651787112157,0.6863171003627495,-0.08006201914902485,11.397067505749654,52.21782178217822,11.397067505749654,0.43564356435643564,0.08006201914902485,0.3937625940858497,41,0.5418383914968529,39,1,0.2435817243625177,良好,51,24,8,40
B,专家B39,101,0.6726627811575675,0.7076715672681134,-0.00782337947971302,17.749899036123256,51.554455445544555,17.749899036123256,0.5148514851485149,0.00782337947971302,0.7391941234134153,6,0.784125389029811,3,3,0.2435817243625177,优秀,14,20,2,6
B,专家B40,101,0.6432954213297075,0.7288281228951625,-0.5668511719194385,18.78334991152104,46.277227722772274,18.78334991152104,0.38613861386138615,0.5668511719194385,0.7801504221977018,4,0.7758362715294421,4,3,0.2435817243625177,优秀,24,10,29,4
B,专家B41,102,0.7285271731753095,0.7277094090177536,-0.006647603503501472,15.837679243308273,51.42156862745098,15.837679243308273,0.4019607843137255,0.006647603503501472,0.6574027337162544,11,0.7690079403688852,5,3,0.2435817243625177,优秀,7,13,1,14
B,专家B42,100,0.39062590174441725,0.4540416020145736,-0.7288058893034278,17.19144845555487,44.79,17.19144845555487,0.42,0.7288058893034278,0.5433434543733308,25,0.4720815403310586,48,2,0.2435817243625177,需关注,53,53,35,9
B,专家B43,100,0.7129343497200935,0.7278298839493115,-0.4766844965930991,13.565411899385879,55.86,13.565411899385879,0.44,0.4766844965930991,0.54022059197021,26,0.6887353217736746,16,1,0.2435817243625177,良好,9,11,25,31
B,专家B44,100,0.599956919262397,0.6652299961276089,-3.152285109192708,13.473125101475159,80.43,13.473125101475159,0.54,3.152285109192708,0.437372761892534,34,0.4379159213404805,49,0,0.2435817243625177,合格,32,28,55,32
B,专家B45,100,0.755576687165339,0.7254630396866569,-0.9139308808141857,17.45857668883692,43.09,17.45857668883692,0.4,0.9139308808141857,0.7298107194857841,7,0.7671952602723784,6,3,0.2435817243625177,优秀,6,14,39,7
B,专家B46,102,0.5237642915633275,0.6484873254168437,-0.3194597287206425,15.555484154282224,48.549019607843135,15.555484154282224,0.4019607843137255,0.3194597287206425,0.5740289705482992,18,0.627143037009963,25,1,0.2435817243625177,良好,46,33,17,16
B,专家B47,100,0.6310689546851265,0.6248739922555739,-1.0396822648934645,16.288311760277676,61.03,16.288311760277676,0.44,1.0396822648934645,0.6125684846992763,14,0.6289734109013231,24,3,0.2435817243625177,优秀,30,37,42,12
B,专家B48,101,0.784506229435855,0.6126207279248795,-0.7382831675525809,15.215641089076495,44.7029702970297,15.215641089076495,0.36633663366336633,0.7382831675525809,0.5919432636462144,16,0.6713268271742663,19,3,0.2435817243625177,优秀,4,40,36,19
B,专家B49,101,0.40680070880386887,0.4065515958607767,-0.1436751496040905,10.56898114367934,52.801980198019805,10.56898114367934,0.39603960396039606,0.1436751496040905,0.28286372661855513,52,0.41053365525394886,52,2,0.2435817243625177,需关注,52,54,12,48
B,专家B50,101,0.7055995696252971,0.7665267836026769,-0.0983912262292975,12.035401820084164,52.386138613861384,12.035401820084164,0.5148514851485149,0.0983912262292975,0.49449372575594563,31,0.6775137178269558,17,1,0.2435817243625177,良好,10,3,9,36
B,专家B51,100,0.6678935249198482,0.5481407190624857,-1.170927927852651,10.292574993654405,40.73,10.292574993654405,0.49,1.170927927852651,0.3360047692477075,50,0.4794239194742676,46,0,0.2435817243625177,合格,16,47,46,50
B,专家B52,100,0.66986899107558,0.7407437760067395,-0.2490896540886965,15.970507192947881,53.77,15.970507192947881,0.42,0.2490896540886965,0.6531674335300572,12,0.7485713388639063,8,3,0.2435817243625177,优秀,15,7,14,13
B,专家B53,101,0.5871190455201482,0.7227555689722028,-0.48761732952215653,17.283266555065616,55.960396039603964,17.283266555065616,0.5148514851485149,0.48761732952215653,0.6916041172814315,8,0.7194361291876251,11,3,0.2435817243625177,优秀,34,15,27,8
B,专家B54,102,0.24851235813819472,0.537782410010642,-2.0720049828370217,13.952120576779869,70.50980392156863,13.952120576779869,0.43137254901960786,2.0720049828370217,0.36688420106394304,46,0.3123947058004375,55,2,0.2435817243625177,需关注,55,50,51,27
B,专家B55,101,0.6872987693327808,0.753728506606099,-0.07574926454190138,21.281887450541227,52.17821782178218,21.281887450541227,0.4752475247524752,0.07574926454190138,0.9031659792524633,1,0.8708284108907454,1,3,0.2435817243625177,优秀,12,6,7,2
C,专家C01,101,0.43567466421125667,0.7291265740184654,-1.8877357791816296,22.228968630325678,37.43564356435643,22.228968630325678,0.39603960396039606,1.8877357791816296,0.659285698080092,1,0.5947380221241294,5,1,0.37476158405631654,优秀,10,1,18,1
C,专家C02,102,0.43441107906601395,0.5352769143356405,-0.43245337458220384,9.939938817647596,53.96078431372549,9.939938817647596,0.4117647058823529,0.43245337458220384,0.4113686592700728,14,0.471887782636142,14,0,0.37476158405631654,良好,12,15,10,13
C,专家C03,101,0.382402943975693,0.5347607325823842,-0.2903632667988623,14.563854983256869,55.57425742574257,14.563854983256869,0.43564356435643564,0.2903632667988623,0.5152875747111354,8,0.502123782350902,11,0,0.37476158405631654,良好,16,16,7,5
C,专家C04,101,0.4821624444703512,0.5441706483178711,-0.12467456938792662,9.2322472229362,60.28712871287129,9.2322472229362,0.39603960396039606,0.12467456938792662,0.4528041366197119,11,0.536707774826772,8,0,0.37476158405631654,良好,4,14,5,14
C,专家C05,102,0.4965717319969326,0.601423459584703,-1.2951698279879522,11.097991581689502,73.57843137254902,11.097991581689502,0.37254901960784315,1.2951698279879522,0.43808489414743057,12,0.5008798753338497,12,1,0.37476158405631654,优秀,2,6,15,11
C,专家C06,100,0.48536579766936644,0.6358442481264488,-0.5514098587651705,14.219630796894833,52.61,14.219630796894833,0.44,0.5514098587651705,0.6038919681558335,5,0.6547406080659256,2,0,0.37476158405631654,良好,3,3,13,7
C,专家C07,102,0.41978079198586804,0.561366008343727,-0.7372264832814868,14.527020125458979,50.5,14.527020125458979,0.4411764705882353,0.7372264832814868,0.5145051318603486,9,0.5085819987172144,10,0,0.37476158405631654,良好,14,10,14,6
C,专家C08,101,0.4635391045030061,0.5515417972253405,-0.3888911564818602,14.166984874879141,54.45544554455446,14.166984874879141,0.45544554455445546,0.3888911564818602,0.5511290617017087,6,0.5731633594291193,6,0,0.37476158405631654,良好,7,12,8,8
C,专家C09,103,0.3324790399181167,0.4565032441144515,-0.5196295986387661,13.556395195361043,52.970873786407765,13.556395195361043,0.33980582524271846,0.5196295986387661,0.40906880138300367,15,0.3798221867387739,18,0,0.37476158405631654,良好,17,19,11,9
C,专家C10,101,0.47173385825683095,0.5635965505002063,-0.40109815166382473,17.001997956599805,54.31683168316832,17.001997956599805,0.36633663366336633,0.40109815166382473,0.6438838261428055,3,0.6310465741906733,3,0,0.37476158405631654,良好,6,8,9,3
C,专家C11,102,0.31276222882236165,0.4536349175010645,-1.4661190504311756,6.125693865710975,75.51960784313725,6.125693865710975,0.39215686274509803,1.4661190504311756,0.11251825328186484,20,0.131609880280737,20,2,0.37476158405631654,合格,19,20,16,20
C,专家C12,102,0.3001094991028307,0.5806417885029832,-1.968606158824894,6.731411387629768,81.22549019607843,6.731411387629768,0.4215686274509804,1.968606158824894,0.17612455689146075,19,0.20668174066974254,19,2,0.37476158405631654,合格,20,7,19,18
