,熵权,CRITIC,CV,标准差,PCA,GRA
熵权,1.0,0.9296542499129108,0.9902659389171925,0.9327767064898791,0.8666483055272345,0.9293389750657853
CRITIC,0.9296542499129108,1.0,0.9634325020865536,0.9930519960365449,0.9024664776346177,0.9870948558783416
CV,0.9902659389171925,0.9634325020865536,1.0,0.9672851527468771,0.8965248820011146,0.9656585577391407
标准差,0.9327767064898791,0.9930519960365449,0.9672851527468771,1.0,0.9347612241432776,0.9967296711496014
PCA,0.8666483055272345,0.9024664776346177,0.8965248820011146,0.9347612241432776,1.0,0.9346831029422199
GRA,0.9293389750657853,0.9870948558783416,0.9656585577391407,0.9967296711496014,0.9346831029422199,1.0
