probability,train_density,test_density
0.353923,0.165453,0.321834
0.355593,0.161569,0.321063
0.357262,0.157759,0.320310
0.358932,0.154021,0.319574
0.360601,0.150355,0.318852
0.362270,0.146760,0.318145
0.363940,0.143235,0.317451
0.365609,0.139779,0.316770
0.367279,0.136392,0.316099
0.368948,0.133072,0.315439
0.370618,0.129819,0.314788
0.372287,0.126631,0.314145
0.373957,0.123509,0.313511
0.375626,0.120451,0.312883
0.377295,0.117456,0.312262
0.378965,0.114523,0.311647
0.380634,0.111652,0.311036
0.382304,0.108842,0.310430
0.383973,0.106092,0.309827
0.385643,0.103400,0.309228
0.387312,0.100767,0.308631
0.388982,0.098192,0.308036
0.390651,0.095672,0.307443
0.392321,0.093209,0.306850
0.393990,0.090801,0.306259
0.395659,0.088446,0.305667
0.397329,0.086145,0.305076
0.398998,0.083896,0.304484
0.400668,0.081699,0.303890
0.402337,0.079553,0.303296
0.404007,0.077456,0.302700
0.405676,0.075409,0.302102
0.407346,0.073411,0.301501
0.409015,0.071460,0.300898
0.410684,0.069556,0.300293
0.412354,0.067698,0.299684
0.414023,0.065885,0.299072
0.415693,0.064117,0.298456
0.417362,0.062393,0.297836
0.419032,0.060713,0.297212
0.420701,0.059074,0.296584
0.422371,0.057478,0.295952
0.424040,0.055922,0.295315
0.425710,0.054407,0.294673
0.427379,0.052932,0.294026
0.429048,0.051495,0.293374
0.430718,0.050097,0.292717
0.432387,0.048736,0.292054
0.434057,0.047413,0.291385
0.435726,0.046125,0.290711
0.437396,0.044874,0.290031
0.439065,0.043657,0.289345
0.440735,0.042475,0.288653
0.442404,0.041327,0.287955
0.444073,0.040213,0.287251
0.445743,0.039131,0.286540
0.447412,0.038081,0.285823
0.449082,0.037063,0.285099
0.450751,0.036076,0.284369
0.452421,0.035119,0.283632
0.454090,0.034193,0.282888
0.455760,0.033296,0.282137
0.457429,0.032428,0.281380
0.459098,0.031588,0.280616
0.460768,0.030777,0.279845
0.462437,0.029993,0.279067
0.464107,0.029236,0.278283
0.465776,0.028506,0.277491
0.467446,0.027802,0.276692
0.469115,0.027124,0.275887
0.470785,0.026472,0.275075
0.472454,0.025844,0.274256
