dataset,threshold,acc,f1,recall,specificity,youden_j
Chatelier,0.999970,0.458498,0.541806,0.910112,0.910112,0.123527
Chatelier,0.999972,0.454545,0.540000,0.910112,0.910112,0.117429
Chatelier,0.999972,0.450593,0.538206,0.910112,0.910112,0.111332
Chatelier,0.999975,0.454545,0.543046,0.921348,0.921348,0.122568
Chatelier,0.999979,0.450593,0.541254,0.921348,0.921348,0.116470
Chatelier,0.999985,0.454545,0.546053,0.932584,0.932584,0.127706
Chatelier,0.999988,0.458498,0.550820,0.943820,0.943820,0.138942
Chatelier,0.999988,0.462451,0.555556,0.955056,0.955056,0.150178
Chatelier,0.999989,0.458498,0.553746,0.955056,0.955056,0.144081
Chatelier,0.999990,0.454545,0.551948,0.955056,0.955056,0.137983
Chatelier,0.999991,0.450593,0.550162,0.955056,0.955056,0.131885
Chatelier,0.999991,0.446640,0.548387,0.955056,0.955056,0.125788
Chatelier,0.999994,0.442688,0.546624,0.955056,0.955056,0.119690
Chatelier,0.999994,0.438735,0.544872,0.955056,0.955056,0.113593
Chatelier,0.999998,0.434783,0.543131,0.955056,0.955056,0.107495
Chatelier,0.999998,0.430830,0.541401,0.955056,0.955056,0.101398
Chatelier,0.999998,0.426877,0.539683,0.955056,0.955056,0.095300
Chatelier,0.999999,0.422925,0.537975,0.955056,0.955056,0.089203
Chatelier,0.999999,0.418972,0.536278,0.955056,0.955056,0.083105
Chatelier,0.999999,0.422925,0.540881,0.966292,0.966292,0.094341
Chatelier,0.999999,0.418972,0.539185,0.966292,0.966292,0.088243
Chatelier,0.999999,0.415020,0.537500,0.966292,0.966292,0.082146
Chatelier,0.999999,0.411067,0.535826,0.966292,0.966292,0.076048
Chatelier,0.999999,0.407115,0.534161,0.966292,0.966292,0.069951
Chatelier,0.999999,0.403162,0.532508,0.966292,0.966292,0.063853
Chatelier,1.000000,0.399209,0.530864,0.966292,0.966292,0.057756
Chatelier,1.000000,0.395257,0.529231,0.966292,0.966292,0.051658
Chatelier,1.000000,0.391304,0.527607,0.966292,0.966292,0.045560
Chatelier,1.000000,0.387352,0.525994,0.966292,0.966292,0.039463
Chatelier,1.000000,0.383399,0.524390,0.966292,0.966292,0.033365
Chatelier,1.000000,0.379447,0.522796,0.966292,0.966292,0.027268
Chatelier,1.000000,0.383399,0.527273,0.977528,0.977528,0.038504
Chatelier,1.000000,0.379447,0.525680,0.977528,0.977528,0.032406
Chatelier,1.000000,0.375494,0.524096,0.977528,0.977528,0.026309
Chatelier,1.000000,0.379447,0.528529,0.988764,0.988764,0.037545
Chatelier,1.000000,0.375494,0.526946,0.988764,0.988764,0.031447
Chatelier,1.000000,0.371542,0.525373,0.988764,0.988764,0.025349
Chatelier,1.000000,0.367589,0.523810,0.988764,0.988764,0.019252
Chatelier,1.000000,0.371542,0.528190,1.000000,1.000000,0.030488
Chatelier,1.000000,0.367589,0.526627,1.000000,1.000000,0.024390
Chatelier,1.000000,0.363636,0.525074,1.000000,1.000000,0.018293
Chatelier,1.000000,0.359684,0.523529,1.000000,1.000000,0.012195
Chatelier,1.000000,0.355731,0.521994,1.000000,1.000000,0.006098
Chatelier,1.000000,0.351779,0.520468,1.000000,1.000000,0.000000
