题目,评委ID,TOPSIS_熵权,TOPSIS_CRITIC,TOPSIS_CV,TOPSIS_标准差,TOPSIS_PCA,TOPSIS_GRA,排名_熵权,排名_CRITIC,排名_CV,排名_标准差,排名_PCA,排名_GRA
E,专家E07,0.6231625863755009,0.6424245832722588,0.6238037315075967,0.65465137706041,0.6592633727554982,0.67399284182204,16,18,19,18,16,15
E,专家E08,0.2865403941819731,0.3364937479805908,0.3178943701324569,0.34957140915680973,0.3531622104018674,0.3723021191044659,36,36,36,36,36,36
E,专家E09,0.47177056961995806,0.4593562533485846,0.4626658083602901,0.4664734396139431,0.4660312923165474,0.48513844697496544,30,34,34,34,34,34
E,专家E10,0.46600079219884877,0.5299785666016391,0.49844841486113844,0.5418876178489983,0.5483179057455517,0.5550230544423868,31,29,29,29,28,29
E,专家E11,0.2626055837499834,0.32517282053103125,0.29999913886840773,0.32952274010061056,0.3343268105358831,0.3279184917068289,37,37,37,37,37,37
E,专家E12,0.4251207352162017,0.508415290067504,0.47665216242461017,0.5239235839813068,0.5300893238756174,0.5470091297254113,33,31,32,31,31,31
E,专家E13,0.5530458145693341,0.5392914662584317,0.5483365849128037,0.5427268289315484,0.540810882237784,0.5561353507501586,21,27,25,28,29,27
E,专家E14,0.5084828938948801,0.5489143112658208,0.5241678445218098,0.5577059673581511,0.5630630832139424,0.5658296310949333,26,26,27,26,26,26
E,专家E15,0.7530952374585616,0.7572746556380684,0.751866376924145,0.7592111982109623,0.7605472596026084,0.7606089508615838,6,6,6,8,8,8
E,专家E16,0.7106351387253492,0.6911127362694454,0.7001131465230519,0.6871667776578485,0.6853223862315214,0.6820967457874719,8,11,10,12,14,14
E,专家E17,0.6387481819106116,0.681862415736716,0.6635413567914463,0.6868706788773856,0.6905447076842438,0.6899593583569033,14,13,13,13,12,13
E,专家E18,0.6776393988069279,0.7049466619025262,0.6937104634919219,0.711499956144651,0.7138227725326712,0.7221705913219391,11,10,11,10,10,10
E,专家E19,0.6218414670218801,0.6322306343109776,0.6332753493531705,0.6358418514654387,0.6353441607937065,0.6462542344516663,17,19,17,19,19,19
E,专家E20,0.7068293563458439,0.7526044307317905,0.735238829832908,0.7603602778034374,0.7638213239764508,0.77129031657556,9,8,8,7,7,7
E,专家E21,0.6049671957415684,0.6753368390264471,0.6563060156029376,0.6854183868622958,0.6888125439381281,0.7032646027217861,18,14,15,14,13,12
E,专家E22,0.9015133621688964,0.8838070715220606,0.8852449728893022,0.8781167659747341,0.8781074569710832,0.8647852007248572,1,1,1,1,1,1
E,专家E23,0.772713099974418,0.8001850509852229,0.7931230213567282,0.8016144335996609,0.8027621019533325,0.8023363995401331,3,3,3,4,4,4
E,专家E24,0.6265768857032984,0.6749673854252848,0.658495025625097,0.676818741462993,0.6798600603004707,0.6736463457542415,15,15,14,15,15,16
E,专家E25,0.6593163781341986,0.6515160204617556,0.6459676636507965,0.6549361530014999,0.6566666371847967,0.6590919086509159,13,16,16,17,18,18
